Entity,Code,Year,Oil
Argentina,ARG,1900,0
Argentina,ARG,1901,0
Argentina,ARG,1902,0
Argentina,ARG,1903,0
Argentina,ARG,1904,0
Argentina,ARG,1905,0
Argentina,ARG,1906,0
Argentina,ARG,1907,0
Argentina,ARG,1908,0.02326
Argentina,ARG,1909,0.03489
Argentina,ARG,1910,0.03489
Argentina,ARG,1911,0.02326
Argentina,ARG,1912,0.08141
Argentina,ARG,1913,0.22097
Argentina,ARG,1914,0.4652
Argentina,ARG,1915,0.86062
Argentina,ARG,1916,1.46538
Argentina,ARG,1917,2.05851
Argentina,ARG,1918,2.27948
Argentina,ARG,1919,2.24459
